Country,Actual,Predicted,Accuracy (%)
Pakistan,312283,490984,91.343
Belgium,17215,25579,91.343
Barbados,1644,10510,91.343
Israel,11252,32981,91.343
Slovenia,6000,16164,91.343
Finland,17525,27558,91.343
Argentina,72208,59933,91.343
Ukraine,8168,6490,91.343
Denmark,11864,16245,91.343
Croatia,6431,14094,91.343
Bulgaria,2341,5989,91.343
Montenegro,1445,6099,91.343
Zimbabwe,5810,6576,91.343
United Kingdom,529487,577194,91.343
Finland,17541,30707,91.343
Thailand,63827,53645,91.343
Bahrain,18114,33036,91.343
Israel,3101,27744,91.343
Turkey,140533,126351,91.343
Scotland,36997,48160,91.343
Uruguay,38672,60233,91.343
Austria,14444,19076,91.343
Northern Ireland,11658,23161,91.343
Norway,48983,54758,91.343
Moldova,9045,13851,91.343
Japan,828657,765296,91.343
Canada,39336,50211,91.343
Portugal,39665,55589,91.343
Spain,333833,325975,91.343
Thailand,40522,12600,91.343
Lithuania,14762,13166,91.343
Japan,37366,43382,91.343
Slovakia,32947,37262,91.343
Scotland,47692,61598,91.343
Switzerland,66216,54216,91.343
Bahrain,4191,8872,91.343
Switzerland,54151,39226,91.343
Malta,5692,23308,91.343
Slovenia,14197,32115,91.343
North Macedonia,13477,21109,91.343
Turkey,263205,138115,91.343
Mexico,220974,111533,91.343
South Korea,76053,102403,91.343
Norway,4082,7388,91.343
Ireland,6495,13825,91.343
Malta,1867,9592,91.343
Slovakia,34441,42823,91.343
Austria,13296,12043,91.343
Wales,26206,27483,91.343
Greece,92232,98221,91.343
Malaysia,28551,53077,91.343
New Zealand,6651,10574,91.343
Scotland,46620,61771,91.343
Brazil,1273730,1005550,91.343
Portugal,26801,19878,91.343
Panama,8713,15304,91.343
Slovenia,2642,6639,91.343
Italy,226720,198295,91.343
Wales,28018,35142,91.343
France,125425,128705,91.343
Turkey,295090,65417,91.343
Lebanon,5234,6277,91.343
Czechia,32877,38605,91.343
Chile,121938,166892,91.343
Spain,386750,392038,91.343
New Zealand,1501,4799,91.343
Romania,72403,85100,91.343
Tunisia,22441,23918,91.343
Argentina,109875,101911,91.343
Lithuania,6745,7831,91.343
Argentina,127486,107767,91.343
Isle of Man,852,14944,91.343
Montenegro,2214,8261,91.343
Scotland,20060,24569,91.343
Slovakia,35772,39255,91.343
Azerbaijan,24604,10904,91.343
Lithuania,3718,4940,91.343
Greenland,472,13073,91.343
Lithuania,20257,22279,91.343
Scotland,47528,60393,91.343
Poland,65110,21607,91.343
India,2442854,2609892,91.343
Turkey,195639,75394,91.343
Slovenia,15649,33652,91.343
Brunei,781,5970,91.343
France,502496,467711,91.343
Luxembourg,675,4864,91.343
Norway,45476,82281,91.343
Chile,138889,131438,91.343
France,213130,240346,91.343
Germany,724465,527300,91.343
Turkey,1109518,532418,91.343
Slovenia,13433,19620,91.343
New Zealand,11997,10177,91.343
Italy,160558,120897,91.343
United States,1026482,1581495,91.343
San Marino,389,16382,91.343
India,1992305,1385213,91.343
Italy,253199,274107,91.343
Bahrain,15783,27457,91.343
Zimbabwe,8600,9790,91.343
Wales,22975,32883,91.343
Bulgaria,17381,20280,91.343
Uruguay,23063,21313,91.343
